the_geom,median_household_total_income_2015_2015_constant_dollars,rank_going_up,ctcode,number_of_households_2015,median_household_total_income_2005_2015_constant_dollars,cartodb_id,number_of_households_2005,median_household_total_income_2005_2015_constant_dollars_2,percentage_change,province_territory,geographic_code_province_territory,census_metropolitan_area_census_agglomeration
,58325,1527,9330016.05,1815,47211,575,1905,47211,23.54112389,British Columbia,59,Vancouver (CMA)
,58208,1516,9700015,1905,55053,576,1880,55053,5.730841189,British Columbia,59,Prince George (CA)
,58197,1515,9330010.01,2210,60307,577,1985,60307,-3.498764654,British Columbia,59,Vancouver (CMA)
,58112,1504,9150013,490,49241,578,455,49241,18.01547491,British Columbia,59,Kelowna (CMA)
,57824,1485,9250009,1520,50872,579,1530,50872,13.6656707,British Columbia,59,Kamloops (CA)
,57792,1482,9330287.06,1620,49356,580,1625,49356,17.09214685,British Columbia,59,Vancouver (CMA)
,57643,1474,9300007,1880,51393,581,1780,51393,12.16118927,British Columbia,59,Chilliwack (CA)
,57525,1471,9350126,3815,53201,582,3430,53201,8.127666773,British Columbia,59,Victoria (CMA)
,57415,1459,9150102.06,2225,47160,583,1905,47160,21.74512299,British Columbia,59,Kelowna (CMA)
,57280,1453,9330147.1,1940,52646,584,1865,52646,8.8021882,British Columbia,59,Vancouver (CMA)
,57173,1446,9330503.08,2425,52542,586,1450,52542,8.81390126,British Columbia,59,Vancouver (CMA)
,56960,1433,9330143.02,1615,52882,587,1540,52882,7.711508642,British Columbia,59,Vancouver (CMA)
,56875,1423,9300031,720,47737,588,705,47737,19.14238431,British Columbia,59,Chilliwack (CA)
,56864,1422,9250010,2420,49696,589,2320,49696,14.42369607,British Columbia,59,Kamloops (CA)
,56704,1416,9350009,1770,51435,590,1705,51435,10.24399728,British Columbia,59,Victoria (CMA)
,56544,1405,9330022,1680,51161,591,1680,51161,10.52168644,British Columbia,59,Vancouver (CMA)
,56115,1377,9380016,2865,45588,592,2270,45588,23.09160305,British Columbia,59,Nanaimo (CA)
,55936,1369,9330059.09,4510,44290,593,2980,44290,26.29487469,British Columbia,59,Vancouver (CMA)
,55893,1364,9330147.09,1605,48031,594,1675,48031,16.36859528,British Columbia,59,Vancouver (CMA)
,55723,1355,9330225.02,2790,54482,596,2035,54482,2.277816527,British Columbia,59,Vancouver (CMA)
,55723,1354,9330016.06,2445,46589,597,1920,46589,19.60548627,British Columbia,59,Vancouver (CMA)
,55698,1352,9330055.01,2610,40932,598,2415,40932,36.07446497,British Columbia,59,Vancouver (CMA)
,55616,1348,9330503.09,1220,49930,599,1300,49930,11.38794312,British Columbia,59,Vancouver (CMA)
,55050,1309,9330101.03,3255,50056,601,3090,50056,9.976825955,British Columbia,59,Vancouver (CMA)
,54912,1301,9330503.06,2215,51635,602,2070,51635,6.346470417,British Columbia,59,Vancouver (CMA)
,54898,1298,9150009.02,2195,46160,603,2000,46160,18.92980936,British Columbia,59,Kelowna (CMA)
,54683,1278,9330283,3250,54832,604,2625,54832,-0.27173913,British Columbia,59,Vancouver (CMA)
,54656,1275,9700014,2020,45430,605,1985,45430,20.30816641,British Columbia,59,Prince George (CA)
,54528,1267,9250015,1925,48592,606,1855,48592,12.21600263,British Columbia,59,Kamloops (CA)
,54408,1256,9330190.01,3865,50354,607,2450,50354,8.050998928,British Columbia,59,Vancouver (CMA)
,54272,1250,9350122,1610,51011,608,1655,51011,6.392738821,British Columbia,59,Victoria (CMA)
,53984,1222,9330147.04,2420,49828,609,2330,49828,8.34069198,British Columbia,59,Vancouver (CMA)
,53867,1213,9330207,1435,53099,610,1365,53099,1.446354922,British Columbia,59,Vancouver (CMA)
,53632,1196,9330189.05,3535,48161,612,3285,48161,11.35981396,British Columbia,59,Vancouver (CMA)
,53606,1193,9330040.01,2845,51258,613,2420,51258,4.580748371,British Columbia,59,Vancouver (CMA)
,53595,1192,9330052.01,2225,50761,614,1980,50761,5.583026339,British Columbia,59,Vancouver (CMA)
,53531,1188,9150008,3470,47928,615,3100,47928,11.69045235,British Columbia,59,Kelowna (CMA)
,53299,1173,9330060.01,2060,49611,616,2030,49611,7.433835238,British Columbia,59,Vancouver (CMA)
,53269,1170,9330101.04,2475,46660,617,1915,46660,14.16416631,British Columbia,59,Vancouver (CMA)
,53157,1159,9330204.01,2410,49901,618,2310,49901,6.52491934,British Columbia,59,Vancouver (CMA)
,53120,1158,9350111.01,2475,50024,619,2305,50024,6.189029266,British Columbia,59,Victoria (CMA)
,53056,1152,9330228.04,2525,47337,620,2315,47337,12.08145848,British Columbia,59,Vancouver (CMA)
,53029,1148,9330014.02,2055,44975,621,1810,44975,17.90772651,British Columbia,59,Vancouver (CMA)
,52937,1143,9350014.02,2065,46779,622,1975,46779,13.16402659,British Columbia,59,Victoria (CMA)
,52864,1139,9380011,2420,47281,624,2045,47281,11.80812589,British Columbia,59,Nanaimo (CA)
,52626,1117,9330191.06,1135,41915,625,875,41915,25.55409758,British Columbia,59,Vancouver (CMA)
,52544,1110,9150014,1760,47234,626,1510,47234,11.24190202,British Columbia,59,Kelowna (CMA)
,52425,1101,9330063,2550,45675,627,2245,45675,14.77832512,British Columbia,59,Vancouver (CMA)
,51566,1038,9330181.11,1395,52016,628,1335,52016,-0.865118425,British Columbia,59,Vancouver (CMA)
,51531,1036,9330061,3510,47300,629,3290,47300,8.945031712,British Columbia,59,Vancouver (CMA)
,51085,996,9330401.02,3870,48667,630,3355,48667,4.96845912,British Columbia,59,Vancouver (CMA)
,51072,995,9150010.01,1520,39729,631,1525,39729,28.55093257,British Columbia,59,Kelowna (CMA)
,50886,979,9350003.01,3345,44751,633,3340,44751,13.70919086,British Columbia,59,Victoria (CMA)
,50859,974,9330402.03,2280,48201,634,1790,48201,5.514408415,British Columbia,59,Vancouver (CMA)
,50816,971,9350003.02,3660,43640,635,3345,43640,16.4436297,British Columbia,59,Victoria (CMA)
,50816,970,9330287.16,2005,53300,636,1640,53300,-4.660412758,British Columbia,59,Vancouver (CMA)
,50670,953,9330050.02,3475,36867,637,3350,36867,37.43998698,British Columbia,59,Vancouver (CMA)
,50667,951,9330068,3495,48458,638,3285,48458,4.558586817,British Columbia,59,Vancouver (CMA)
